date,equity
2023-02-12,82980.15589058434
2023-02-13,82980.15589058434
2023-02-14,82980.15589058434
2023-02-15,83155.49997854192
2023-02-16,83155.49997854192
2023-02-17,83155.49997854192
2023-02-18,83272.87607380934
2023-02-19,83272.87607380934
2023-02-20,83272.87607380934
2023-02-21,82806.32485484108
2023-02-22,82806.32485484108
2023-02-23,82806.32485484108
2023-02-24,82806.32485484108
2023-02-25,82806.32485484108
2023-02-26,82806.32485484108
2023-02-27,82806.32485484108
2023-02-28,82806.32485484108
2023-03-01,82806.32485484108
2023-03-02,82806.32485484108
2023-03-03,82806.32485484108
2023-03-04,82806.32485484108
2023-03-05,82806.32485484108
2023-03-06,82806.32485484108
2023-03-07,82806.32485484108
2023-03-08,82806.32485484108
2023-03-09,82806.32485484108
2023-03-10,82793.15314765202
2023-03-11,82470.51736337437
2023-03-12,82491.73578871944
2023-03-13,82333.96812816332
2023-03-14,82333.96812816332
2023-03-15,81736.65205899402
2023-03-16,81628.66360286795
2023-03-17,81628.66360286795
2023-03-18,81553.37318933425
2023-03-19,81553.37318933425
2023-03-20,81557.03228143645
2023-03-21,81557.03228143645
2023-03-22,81557.03228143645
2023-03-23,81557.03228143645
2023-03-24,81557.03228143645
2023-03-25,81557.03228143645
2023-03-26,81557.03228143645
2023-03-27,81599.28329984217
2023-03-28,81320.70148412815
2023-03-29,81320.70148412815
2023-03-30,81413.58593379402
2023-03-31,80946.32572762115
2023-04-01,80946.32572762115
2023-04-02,80946.32572762115
2023-04-03,80891.22636948478
2023-04-04,80891.22636948478
2023-04-05,80891.22636948478
2023-04-06,80996.3329441056
2023-04-07,80987.14335566944
2023-04-08,80880.0941793169
2023-04-09,80880.0941793169
2023-04-10,80880.0941793169
2023-04-11,80880.0941793169
2023-04-12,80880.0941793169
2023-04-13,80880.0941793169
2023-04-14,80880.0941793169
2023-04-15,80880.0941793169
2023-04-16,80736.51659989714
2023-04-17,80736.51659989714
2023-04-18,80059.7643447603
2023-04-19,79594.1068584838
2023-04-20,79594.1068584838
2023-04-21,79594.1068584838
2023-04-22,79594.1068584838
2023-04-23,79594.1068584838
2023-04-24,79594.1068584838
2023-04-25,79594.1068584838
2023-04-26,79594.1068584838
2023-04-27,79594.1068584838
2023-04-28,79594.1068584838
2023-04-29,79594.1068584838
2023-04-30,79594.1068584838
2023-05-01,79594.1068584838
2023-05-02,79594.1068584838
2023-05-03,79594.1068584838
2023-05-04,79594.1068584838
2023-05-05,79594.1068584838
2023-05-06,79594.1068584838
2023-05-07,79594.1068584838
2023-05-08,79594.1068584838
