asset,entry_time,exit_time,direction,entry_zscore,hours_held,funding_pnl_pct,cost_pct,net_pnl_pct,exit_reason
SOL-USDT-PERP,2023-11-07 16:00:00+00:00,2023-11-08 16:00:00+00:00,SHORT,1.737,24,0.04886,0.04,0.00886,TIMEOUT
SOL-USDT-PERP,2023-11-09 16:00:00+00:00,2023-11-10 00:00:00+00:00,SHORT,3.008,8,0.01,0.04,-0.03,REVERT
SOL-USDT-PERP,2023-11-10 08:00:00+00:00,2023-11-11 08:00:00+00:00,SHORT,2.398,23,0.08546,0.04,0.04546,REVERT
SOL-USDT-PERP,2023-11-11 16:00:00+00:00,2023-11-12 16:00:00+00:00,SHORT,2.792,24,0.13311,0.04,0.09311,TIMEOUT
SOL-USDT-PERP,2023-11-12 16:00:00+00:00,2023-11-13 16:00:00+00:00,SHORT,1.29,24,0.09703,0.04,0.05703,REVERT
SOL-USDT-PERP,2023-11-14 00:00:00+00:00,2023-11-14 08:00:00+00:00,SHORT,3.081,8,0.01232,0.04,-0.02768,REVERT
SOL-USDT-PERP,2023-12-02 08:00:00+00:00,2023-12-03 00:00:00+00:00,SHORT,2.388,16,0.04629,0.04,0.00629,REVERT
SOL-USDT-PERP,2023-12-04 08:00:00+00:00,2023-12-04 16:00:00+00:00,SHORT,2.459,8,0.01167,0.04,-0.02833,REVERT
SOL-USDT-PERP,2023-12-06 00:00:00+00:00,2023-12-06 16:00:00+00:00,SHORT,1.558,16,0.05069,0.04,0.01069,REVERT
SOL-USDT-PERP,2023-12-07 16:00:00+00:00,2023-12-08 08:00:00+00:00,SHORT,1.298,16,0.06076,0.04,0.02076,REVERT
SOL-USDT-PERP,2023-12-09 00:00:00+00:00,2023-12-10 00:00:00+00:00,SHORT,1.374,24,0.1176,0.04,0.0776,TIMEOUT
SOL-USDT-PERP,2023-12-10 00:00:00+00:00,2023-12-11 00:00:00+00:00,SHORT,1.889,24,0.10125,0.04,0.06125,TIMEOUT
SOL-USDT-PERP,2023-12-15 00:00:00+00:00,2023-12-16 00:00:00+00:00,SHORT,2.559,24,0.10465,0.04,0.06465,REVERT
SOL-USDT-PERP,2023-12-22 00:00:00+00:00,2023-12-23 00:00:00+00:00,SHORT,2.257,23,0.08063,0.04,0.04063,REVERT
SOL-USDT-PERP,2023-12-25 16:00:00+00:00,2023-12-26 16:00:00+00:00,SHORT,3.315,24,0.10883,0.04,0.06883,REVERT
SOL-USDT-PERP,2023-12-27 08:00:00+00:00,2023-12-28 08:00:00+00:00,SHORT,1.357,24,0.22014,0.04,0.18014,TIMEOUT
SOL-USDT-PERP,2023-12-28 08:00:00+00:00,2023-12-29 08:00:00+00:00,SHORT,3.026,24,0.16979,0.04,0.12979,REVERT
SOL-USDT-PERP,2023-12-29 16:00:00+00:00,2023-12-30 08:00:00+00:00,SHORT,1.486,16,0.06278,0.04,0.02278,REVERT
SOL-USDT-PERP,2023-12-31 16:00:00+00:00,2024-01-01 16:00:00+00:00,SHORT,1.732,24,0.14889,0.04,0.10889,TIMEOUT
SOL-USDT-PERP,2024-01-01 16:00:00+00:00,2024-01-02 16:00:00+00:00,SHORT,1.805,24,0.22496,0.04,0.18496,TIMEOUT
SOL-USDT-PERP,2024-01-02 16:00:00+00:00,2024-01-03 16:00:00+00:00,SHORT,3.177,24,0.12382,0.04,0.08382,REVERT
SOL-USDT-PERP,2024-02-13 08:00:00+00:00,2024-02-13 16:00:00+00:00,SHORT,21.585,8,0.01013,0.04,-0.02987,REVERT
SOL-USDT-PERP,2024-02-14 16:00:00+00:00,2024-02-15 00:00:00+00:00,SHORT,6.63,8,0.01,0.04,-0.03,REVERT
SOL-USDT-PERP,2024-02-15 16:00:00+00:00,2024-02-16 00:00:00+00:00,SHORT,1.836,8,0.01,0.04,-0.03,REVERT
SOL-USDT-PERP,2024-02-16 08:00:00+00:00,2024-02-16 16:00:00+00:00,SHORT,7.128,8,0.01,0.04,-0.03,REVERT
SOL-USDT-PERP,2024-02-17 00:00:00+00:00,2024-02-17 16:00:00+00:00,SHORT,2.039,16,0.03073,0.04,-0.00927,REVERT
SOL-USDT-PERP,2024-02-19 08:00:00+00:00,2024-02-20 08:00:00+00:00,SHORT,3.026,24,0.10245,0.04,0.06245,TIMEOUT
SOL-USDT-PERP,2024-02-20 08:00:00+00:00,2024-02-21 00:00:00+00:00,SHORT,3.826,16,0.02992,0.04,-0.01008,REVERT
SOL-USDT-PERP,2024-02-24 08:00:00+00:00,2024-02-25 08:00:00+00:00,SHORT,1.799,24,0.10807,0.04,0.06807,TIMEOUT
SOL-USDT-PERP,2024-02-25 08:00:00+00:00,2024-02-26 08:00:00+00:00,SHORT,3.996,24,0.15954,0.04,0.11954,TIMEOUT
SOL-USDT-PERP,2024-02-26 08:00:00+00:00,2024-02-27 08:00:00+00:00,SHORT,3.914,24,0.17679,0.04,0.13679,TIMEOUT
SOL-USDT-PERP,2024-02-27 08:00:00+00:00,2024-02-28 09:00:00+00:00,SHORT,5.455,24,0.15352,0.04,0.11352,TIMEOUT
SOL-USDT-PERP,2024-02-28 09:00:00+00:00,2024-02-29 09:00:00+00:00,SHORT,2.615,24,0.25356,0.04,0.21356,TIMEOUT
SOL-USDT-PERP,2024-02-29 09:00:00+00:00,2024-03-01 09:00:00+00:00,SHORT,4.559,24,0.1833,0.04,0.1433,TIMEOUT
SOL-USDT-PERP,2024-03-01 09:00:00+00:00,2024-03-02 09:00:00+00:00,SHORT,1.38,24,0.13905,0.04,0.09905,TIMEOUT
SOL-USDT-PERP,2024-03-02 16:00:00+00:00,2024-03-03 16:00:00+00:00,SHORT,1.706,24,0.21945,0.04,0.17945,TIMEOUT
SOL-USDT-PERP,2024-03-03 16:00:00+00:00,2024-03-04 16:00:00+00:00,SHORT,1.57,24,0.22023,0.04,0.18023,TIMEOUT
SOL-USDT-PERP,2024-03-04 16:00:00+00:00,2024-03-05 16:00:00+00:00,SHORT,2.297,24,0.28946,0.04,0.24946,TIMEOUT
SOL-USDT-PERP,2024-03-05 16:00:00+00:00,2024-03-06 00:00:00+00:00,SHORT,4.228,8,0.01,0.04,-0.03,REVERT
SOL-USDT-PERP,2024-03-07 16:00:00+00:00,2024-03-08 16:00:00+00:00,SHORT,2.324,24,0.23263,0.04,0.19263,TIMEOUT
SOL-USDT-PERP,2024-03-10 08:00:00+00:00,2024-03-10 16:00:00+00:00,SHORT,1.784,8,0.04405,0.04,0.00405,REVERT
SOL-USDT-PERP,2024-03-11 16:00:00+00:00,2024-03-12 16:00:00+00:00,SHORT,1.296,24,0.21573,0.04,0.17573,TIMEOUT
SOL-USDT-PERP,2024-03-13 08:00:00+00:00,2024-03-14 00:00:00+00:00,SHORT,1.748,16,0.14281,0.04,0.10281,REVERT
SOL-USDT-PERP,2024-03-15 00:00:00+00:00,2024-03-15 08:00:00+00:00,SHORT,1.473,7,0.03007,0.04,-0.00993,REVERT
SOL-USDT-PERP,2024-03-16 08:00:00+00:00,2024-03-17 08:00:00+00:00,LONG,-1.215,24,-0.03,0.04,-0.07,TIMEOUT
SOL-USDT-PERP,2024-03-17 08:00:00+00:00,2024-03-18 08:00:00+00:00,LONG,-1.211,24,-0.05787,0.04,-0.09787,REVERT
SOL-USDT-PERP,2024-03-19 00:00:00+00:00,2024-03-20 00:00:00+00:00,LONG,-1.217,24,-0.03,0.04,-0.07,TIMEOUT
SOL-USDT-PERP,2024-03-20 00:00:00+00:00,2024-03-21 00:00:00+00:00,LONG,-1.217,24,-0.03,0.04,-0.07,TIMEOUT
SOL-USDT-PERP,2024-03-29 00:00:00+00:00,2024-03-29 08:00:00+00:00,SHORT,1.316,8,0.05478,0.04,0.01478,REVERT
SOL-USDT-PERP,2024-04-01 00:00:00+00:00,2024-04-01 08:00:00+00:00,SHORT,1.423,8,0.05676,0.04,0.01676,REVERT
SOL-USDT-PERP,2024-04-18 08:00:00+00:00,2024-04-19 08:00:00+00:00,LONG,-1.927,24,-0.01585,0.04,-0.05585,TIMEOUT
SOL-USDT-PERP,2024-04-22 16:00:00+00:00,2024-04-23 16:00:00+00:00,LONG,-1.545,24,-0.02683,0.04,-0.06683,REVERT
SOL-USDT-PERP,2024-05-22 16:00:00+00:00,2024-05-23 16:00:00+00:00,SHORT,1.602,24,0.07827,0.04,0.03827,TIMEOUT
SOL-USDT-PERP,2024-05-23 16:00:00+00:00,2024-05-24 00:00:00+00:00,SHORT,1.939,8,0.01,0.04,-0.03,REVERT
SOL-USDT-PERP,2024-05-27 00:00:00+00:00,2024-05-27 08:00:00+00:00,SHORT,2.376,8,0.01,0.04,-0.03,REVERT
SOL-USDT-PERP,2024-05-28 16:00:00+00:00,2024-05-29 16:00:00+00:00,SHORT,1.903,23,0.04627,0.04,0.00627,REVERT
SOL-USDT-PERP,2024-06-02 00:00:00+00:00,2024-06-02 08:00:00+00:00,SHORT,1.274,8,0.01197,0.04,-0.02803,REVERT
SOL-USDT-PERP,2024-06-03 08:00:00+00:00,2024-06-03 16:00:00+00:00,SHORT,1.774,8,0.01,0.04,-0.03,REVERT
SOL-USDT-PERP,2024-06-04 08:00:00+00:00,2024-06-05 08:00:00+00:00,SHORT,1.83,24,0.041,0.04,0.001,REVERT
SOL-USDT-PERP,2024-06-06 16:00:00+00:00,2024-06-07 00:00:00+00:00,SHORT,1.797,7,0.01,0.04,-0.03,REVERT
SOL-USDT-PERP,2024-06-16 00:00:00+00:00,2024-06-17 00:00:00+00:00,LONG,-3.764,24,-0.00809,0.04,-0.04809,TIMEOUT
SOL-USDT-PERP,2024-06-24 08:00:00+00:00,2024-06-24 16:00:00+00:00,LONG,-3.658,8,-0.00529,0.04,-0.04529,REVERT
SOL-USDT-PERP,2024-07-05 00:00:00+00:00,2024-07-05 08:00:00+00:00,LONG,-3.516,8,-0.00568,0.04,-0.04568,REVERT
SOL-USDT-PERP,2024-07-05 16:00:00+00:00,2024-07-06 08:00:00+00:00,LONG,-2.684,16,0.0002,0.04,-0.0398,REVERT
SOL-USDT-PERP,2024-07-08 08:00:00+00:00,2024-07-08 16:00:00+00:00,LONG,-1.997,8,-0.01,0.04,-0.05,REVERT
SOL-USDT-PERP,2024-07-11 16:00:00+00:00,2024-07-12 16:00:00+00:00,LONG,-1.933,24,0.02198,0.04,-0.01802,REVERT
SOL-USDT-PERP,2024-07-13 00:00:00+00:00,2024-07-13 08:00:00+00:00,LONG,-1.893,8,-0.00564,0.04,-0.04564,REVERT
SOL-USDT-PERP,2024-08-05 08:00:00+00:00,2024-08-06 08:00:00+00:00,LONG,-4.471,24,0.06565,0.04,0.02565,TIMEOUT
SOL-USDT-PERP,2024-08-06 08:00:00+00:00,2024-08-07 08:00:00+00:00,LONG,-4.374,24,0.01048,0.04,-0.02952,REVERT
SOL-USDT-PERP,2024-08-13 00:00:00+00:00,2024-08-13 08:00:00+00:00,LONG,-3.557,8,0.0,0.04,-0.04,REVERT
SOL-USDT-PERP,2024-08-14 00:00:00+00:00,2024-08-14 16:00:00+00:00,LONG,-1.617,16,0.00886,0.04,-0.03114,REVERT
SOL-USDT-PERP,2024-08-16 16:00:00+00:00,2024-08-17 00:00:00+00:00,LONG,-2.049,8,-0.0001,0.04,-0.0401,REVERT
SOL-USDT-PERP,2024-08-17 08:00:00+00:00,2024-08-18 00:00:00+00:00,LONG,-2.81,16,-0.00652,0.04,-0.04652,REVERT
SOL-USDT-PERP,2024-08-21 16:00:00+00:00,2024-08-22 00:00:00+00:00,LONG,-1.98,8,-0.00387,0.04,-0.04387,REVERT
SOL-USDT-PERP,2024-08-30 08:00:00+00:00,2024-08-31 08:00:00+00:00,LONG,-1.651,24,0.02564,0.04,-0.01436,REVERT
DOGE-USDT-PERP,2022-10-28 16:00:00+00:00,2022-10-29 17:00:00+00:00,LONG,-23.957,24,0.02456,0.04,-0.01544,TIMEOUT
DOGE-USDT-PERP,2022-11-09 00:00:00+00:00,2022-11-09 16:00:00+00:00,LONG,-8.905,16,-0.01022,0.04,-0.05022,REVERT
DOGE-USDT-PERP,2022-11-29 08:00:00+00:00,2022-11-29 16:00:00+00:00,LONG,-24.369,8,-0.01,0.04,-0.05,REVERT
DOGE-USDT-PERP,2023-01-14 08:00:00+00:00,2023-01-14 16:00:00+00:00,SHORT,9.067,8,0.01,0.04,-0.03,REVERT
DOGE-USDT-PERP,2023-01-16 00:00:00+00:00,2023-01-16 08:00:00+00:00,SHORT,2.768,8,0.01085,0.04,-0.02915,REVERT
DOGE-USDT-PERP,2023-01-23 16:00:00+00:00,2023-01-24 00:00:00+00:00,SHORT,2.135,8,0.01,0.04,-0.03,REVERT
DOGE-USDT-PERP,2023-01-24 08:00:00+00:00,2023-01-24 16:00:00+00:00,SHORT,4.435,8,0.01,0.04,-0.03,REVERT
DOGE-USDT-PERP,2023-02-02 08:00:00+00:00,2023-02-03 00:00:00+00:00,SHORT,4.044,16,0.02784,0.04,-0.01216,REVERT
DOGE-USDT-PERP,2023-02-03 16:00:00+00:00,2023-02-04 00:00:00+00:00,SHORT,3.22,8,0.01,0.04,-0.03,REVERT
DOGE-USDT-PERP,2023-02-04 08:00:00+00:00,2023-02-05 08:00:00+00:00,SHORT,3.136,24,0.06074,0.04,0.02074,REVERT
DOGE-USDT-PERP,2023-03-10 00:00:00+00:00,2023-03-11 00:00:00+00:00,LONG,-10.605,24,-0.00187,0.04,-0.04187,REVERT
DOGE-USDT-PERP,2023-04-14 08:00:00+00:00,2023-04-14 16:00:00+00:00,SHORT,4.448,8,0.01,0.04,-0.03,REVERT
DOGE-USDT-PERP,2023-04-18 16:00:00+00:00,2023-04-19 00:00:00+00:00,SHORT,7.896,8,0.01,0.04,-0.03,REVERT
DOGE-USDT-PERP,2023-05-09 00:00:00+00:00,2023-05-10 00:00:00+00:00,LONG,-5.415,24,0.00535,0.04,-0.03466,REVERT
DOGE-USDT-PERP,2023-06-10 08:00:00+00:00,2023-06-11 08:00:00+00:00,LONG,-6.668,24,0.04809,0.04,0.00809,TIMEOUT
DOGE-USDT-PERP,2023-06-12 08:00:00+00:00,2023-06-13 09:00:00+00:00,LONG,-2.188,24,-0.00096,0.04,-0.04096,TIMEOUT
DOGE-USDT-PERP,2023-06-27 00:00:00+00:00,2023-06-27 16:00:00+00:00,LONG,-2.906,16,-0.00184,0.04,-0.04184,REVERT
DOGE-USDT-PERP,2023-06-29 00:00:00+00:00,2023-06-30 00:00:00+00:00,LONG,-4.271,23,0.00669,0.04,-0.03331,REVERT
DOGE-USDT-PERP,2023-07-06 00:00:00+00:00,2023-07-06 08:00:00+00:00,LONG,-2.204,8,0.00023,0.04,-0.03977,REVERT
DOGE-USDT-PERP,2023-07-08 00:00:00+00:00,2023-07-09 00:00:00+00:00,LONG,-2.544,24,0.0208,0.04,-0.0192,TIMEOUT
DOGE-USDT-PERP,2023-08-22 08:00:00+00:00,2023-08-22 16:00:00+00:00,LONG,-7.38,8,-0.00656,0.04,-0.04656,REVERT
DOGE-USDT-PERP,2023-09-04 00:00:00+00:00,2023-09-05 01:00:00+00:00,LONG,-3.116,24,0.01109,0.04,-0.02891,TIMEOUT
DOGE-USDT-PERP,2023-09-08 16:00:00+00:00,2023-09-09 08:00:00+00:00,LONG,-3.149,16,-0.00428,0.04,-0.04428,REVERT
DOGE-USDT-PERP,2023-09-10 16:00:00+00:00,2023-09-11 16:00:00+00:00,LONG,-2.627,24,0.00263,0.04,-0.03737,REVERT
DOGE-USDT-PERP,2023-09-16 16:00:00+00:00,2023-09-17 16:00:00+00:00,LONG,-2.594,24,-0.00145,0.04,-0.04145,REVERT
DOGE-USDT-PERP,2023-09-24 00:00:00+00:00,2023-09-24 08:00:00+00:00,LONG,-2.576,8,-0.00334,0.04,-0.04334,REVERT
DOGE-USDT-PERP,2023-10-09 16:00:00+00:00,2023-10-10 16:00:00+00:00,LONG,-2.127,24,0.03794,0.04,-0.00206,TIMEOUT
DOGE-USDT-PERP,2023-10-11 00:00:00+00:00,2023-10-11 16:00:00+00:00,LONG,-2.262,16,-0.00461,0.04,-0.04461,REVERT
DOGE-USDT-PERP,2023-10-12 08:00:00+00:00,2023-10-12 16:00:00+00:00,LONG,-2.878,8,-0.00272,0.04,-0.04272,REVERT
DOGE-USDT-PERP,2023-10-26 00:00:00+00:00,2023-10-27 00:00:00+00:00,SHORT,1.738,24,0.03938,0.04,-0.00062,TIMEOUT
DOGE-USDT-PERP,2023-10-29 00:00:00+00:00,2023-10-30 00:00:00+00:00,SHORT,1.274,24,0.05496,0.04,0.01496,TIMEOUT
DOGE-USDT-PERP,2023-10-30 16:00:00+00:00,2023-10-31 16:00:00+00:00,SHORT,2.218,24,0.0487,0.04,0.0087,REVERT
DOGE-USDT-PERP,2023-11-02 00:00:00+00:00,2023-11-03 00:00:00+00:00,SHORT,2.431,23,0.05878,0.04,0.01878,REVERT
DOGE-USDT-PERP,2023-11-04 08:00:00+00:00,2023-11-05 08:00:00+00:00,SHORT,2.624,24,0.07687,0.04,0.03687,TIMEOUT
DOGE-USDT-PERP,2023-11-05 08:00:00+00:00,2023-11-06 08:00:00+00:00,SHORT,2.164,24,0.08148,0.04,0.04148,TIMEOUT
DOGE-USDT-PERP,2023-11-06 08:00:00+00:00,2023-11-07 08:00:00+00:00,SHORT,1.637,24,0.10782,0.04,0.06782,TIMEOUT
